,Year,Total Multilateral,Total Bilateral, International Monetary Fund,Trade Credit,Total Commercial Borrowings,NRI & FC(B&O) Deposits,Rupee Debt,Total Long-Term Debt
0,1991,40386.0,27378.0,5132.0,8374.0,19727.0,20030.0,25199.0,146226.0
1,1992,68262.0,47603.0,8934.0,12418.0,35711.0,27384.0,31956.0,232268.0
2,1993,77758.0,50258.0,14985.0,13484.0,36367.0,34941.0,33149.0,260942.0
3,1994,82199.0,54580.0,15812.0,16307.0,38782.0,39729.0,31634.0,279043.0
4,1995,89819.0,63761.0,13545.0,20876.0,40915.0,39006.0,30315.0,298237.0
5,1996,98173.0,65740.0,8152.0,18432.0,47642.0,37802.0,28150.0,304091.0
6,1997,105066.0,62891.0,4714.0,21044.0,51454.0,39527.0,26978.0,311674.0
7,1998,116904.0,67104.0,2622.0,25783.0,67086.0,47050.0,23204.0,349753.0
8,1999,129682.0,74304.0,1218.0,28812.0,89019.0,50048.0,20077.0,393160.0
9,2000,137132.0,79278.0,113.0,29564.0,86963.0,59120.0,19218.0,411388.0
10,2001,145105.0,74519.0,16981.48734780769,27625.0,113839.0,77273.0,17345.0,455706.0
11,2002,155633.0,74762.0,16981.48734780769,26110.0,113908.0,83712.0,14807.0,468932.0
12,2003,142683.0,79921.0,16981.48734780769,23750.0,106843.0,110022.0,13405.0,476624.0
13,2004,131105.0,77084.0,4381.0,20553.0,95611.0,135618.0,11856.0,476208.0
14,2005,138897.0,74530.0,4503.0,21976.0,115533.0,143267.0,10071.0,508777.0
15,2006,145503.0,70302.0,4378.0,24175.0,117991.0,161834.0,9184.0,533367.0
16,2007,154053.0,70034.0,4484.0,31237.0,180669.0,179786.0,8508.0,628771.0
17,2008,157901.0,78802.0,4479.0,41296.0,249243.0,174623.0,8065.0,714409.0
18,2009,201425.0,104997.0,5188.0,73772.0,318209.0,210118.0,7760.0,921469.0
19,2010,193436.0,101976.0,27264.0,76011.0,319221.0,217062.0,7480.0,942450.0
20,2011,216672.0,114905.0,28163.0,83112.0,448448.0,230812.0,7147.0,1129258.0
21,2012,257088.0,137086.0,31528.0,97117.0,614623.0,299840.0,6922.0,1444205.0
22,2013,279310.0,136329.0,32439.0,96556.0,762128.0,385202.0,6839.0,1698803.0
23,2014,321560.0,148813.0,36910.0,93275.0,897744.0,624101.0,8826.0,2131229.0
24,2015,328148.0,136060.0,34350.0,78915.0,1128501.0,720997.0,9426.0,2436397.0
25,2016,359490.0,149378.0,37177.0,70001.0,1197176.0,841956.0,8479.0,2663657.0
26,2017,354117.846,150807.784,35129.055463,62426.016,1115514.151,757750.8102,7962.04426,2483707.707023
27,2018,371783.046,164846.794,37716.4749,61659.731,1312755.9,820737.1694,7886.2933,2777385.409
28,2019,396004.648,177140.029,38202.14068,54898.469,1427773.25,902151.9924,8006.83892,3004177.368
