,Year,Total Multilateral,Total Bilateral, International Monetary Fund,Trade Credit,Total Commercial Borrowings,NRI & FC(B&O) Deposits,Rupee Debt,Total Long-Term Debt
0,1991,40386,27378,5132,8374,19727,20030,25199,146226
1,1992,68262,47603,8934,12418,35711,27384,31956,232268
2,1993,77758,50258,14985,13484,36367,34941,33149,260942
3,1994,82199,54580,15812,16307,38782,39729,31634,279043
4,1995,89819,63761,13545,20876,40915,39006,30315,298237
5,1996,98173,65740,8152,18432,47642,37802,28150,304091
6,1997,105066,62891,4714,21044,51454,39527,26978,311674
7,1998,116904,67104,2622,25783,67086,47050,23204,349753
8,1999,129682,74304,1218,28812,89019,50048,20077,393160
9,2000,137132,79278,113,29564,86963,59120,19218,411388
10,2001,145105,74519,16981.48735,27625,113839,77273,17345,455706
11,2002,155633,74762,16981.48735,26110,113908,83712,14807,468932
12,2003,142683,79921,16981.48735,23750,106843,110022,13405,476624
13,2004,131105,77084,4381,20553,95611,135618,11856,476208
14,2005,138897,74530,4503,21976,115533,143267,10071,508777
15,2006,145503,70302,4378,24175,117991,161834,9184,533367
16,2007,154053,70034,4484,31237,180669,179786,8508,628771
17,2008,157901,78802,4479,41296,249243,174623,8065,714409
18,2009,201425,104997,5188,73772,318209,210118,7760,921469
19,2010,193436,101976,27264,76011,319221,217062,7480,942450
20,2011,216672,114905,28163,83112,448448,230812,7147,1129258
21,2012,257088,137086,31528,97117,614623,299840,6922,1444205
22,2013,279310,136329,32439,96556,762128,385202,6839,1698803
23,2014,321560,148813,36910,93275,897744,624101,8826,2131229
24,2015,328148,136060,34350,78915,1128501,720997,9426,2436397
25,2016,359490,149378,37177,70001,1197176,841956,8479,2663657
